"Stress","Dose","Time on bottom third (s)","Time on top (s)","Erratic swimming (Abs. turn angle)","Swimming speed (cm/s)"
"S+",0,372.2791,0.3125,25.30596,64.01423
"S+",0,227.63304,66.294204,26.37,82.46453
"S+",0,374.30903,0.363636,19.10129,57.86183
"S+",0,339.8538,0.33333,23.03286,65.97646
"S+",0,325.48435,1.2,16.69556,63.314047
"S+",0,243.35,0.92857,27.40303,49.7491
"S+",0,386.37948,0.0,21.59099,58.22329
"S+",0,399.7058,0.66666,24.29753,32.01739
"S+",0,386.0,1.73333,12.68901,67.96439
"S+",0,343.9723,12.39801,15.30018,62.86296
"S+",1,336.1087,5.66666,36.65079,59.73298
"S+",1,219.85973,83.34015,21.79502,78.69292
"S+",1,387.0,2.0,25.74762,53.01389
"S+",1,393.4,0.23333,19.14353,43.94169
"S+",1,373.73333,0.65,15.50782,41.51257
"S+",1,357.38865,11.29257,20.71009,56.66877
"S+",1,80.990801,1.35,23.15732,36.7816
"S+",1,291.53592,0.333333,23.80395,64.4508
"S+",1,261.2,1.16666,15.5678,40.09966
"S+",1,151.0,3.0,14.77724,59.392
"S-",0,290.474827,21.77707,18.07519,62.21148
"S-",0,453.944672,0.857143,23.37384,42.81694
"S-",0,334.088811,11.93281,19.62678,57.79116
"S-",0,54.0,2.0,10.95791,71.36298
"S-",0,372.515,11.79166,24.23686,39.57776
"S-",0,4.07149,20.11064,12.26497,63.04365
"S-",0,300.061569,29.42757,22.21648,54.15747
"S-",0,365.266667,1.133333,13.8066,55.54525
"S-",0,316.241555,14.5462,27.49005,82.53235
"S-",0,335.614236,8.314342,21.38462,47.13915
"S-",1,82.1295,43.725639,18.98512,63.14093
"S-",1,3.0,12.75,9.859174,37.25196
"S-",1,342.0009,5.25799,18.45717,62.54275
"S-",1,188.1876,122.8117,24.87126,94.01927
"S-",1,94.0,5.0,19.12193,59.41845
"S-",1,286.3737,20.81399,20.63586,6.229712
"S-",1,354.3547,0.5,16.40192,59.59139
"S-",1,42.21774,282.1552,22.9227,45.02252
"S-",1,324.149066,6.991887,17.4383,61.77974
"S-",1,156.801801,4.184524,22.8675,52.01007
